Seed_Zone,Lot_Name,Total_Inventory,Inventory Unit,Total Inventory (Adjusted for Summation),Sales Price per lb ($),Species,Collection Area,Elevation,Current Germ Test Results,Storage Location,Common_Name,Species Code
,Balsam Fir- Wisconsin SB07022,2.94,lb,2.94,$71.28,Abies balsamea,Wisconsin,,75/71 2019,SilvaSeed Freezer,Balsam Fir,
,Balsam Fir- Wisconsin SB15008,21.09,lb,21.09,$511.31,Abies balsamea,Wisconsin,,75/77 2019,SilvaSeed Freezer,Balsam Fir,
,Big Leaf Maple SR15014,5.69,lb,5.69,$0.00,Acer macrophyllum,Washington,,,SilvaSeed Freezer,Big Leaf Maple,
,Canaan Fir (Orchard) SB06003,2.00,lb,2.00,$0.00,Abies balsamea var phanerolepsis,,,62/55 2018,SilvaSeed Freezer,Canaan Fir,
,Canaan Fir West Virginia SB94052,0.65,lb,0.65,$0.00,Abies balsamea var phanerolepsis,,,,,Canaan Fir,
,Colorado Blue Spruce SB00057,1.85,lb,1.85,$0.00,Picea pungens glauca,Rio Grande N.F.,,96 2001,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB09005,0.70,lb,0.70,$0.00,Picea pungens glauca,Rio Grande N.F.,,86/90 2018,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB12010,37.27,lb,37.27,$0.00,Picea pungens glauca,Rio Grande N.F.,,98/98 2017,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB94011,0.40,lb,0.40,$0.00,Picea pungens glauca,San Juan N.F.,,88/79 2005,SilvaSeed Freezer,Colorado Blue Spruce,
,Douglas Fir Canada SB20022,1.90,lb,1.90,$300.00,Pseudotsuga menziesii,"Qualicum, Vancouver B.C.",,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Canada SB20023,0.45,lb,0.45,$300.00,Pseudotsuga menziesii,Yellow Point B.C.,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Idaho 14-80 SB21051,0.15,lb,0.15,$175.00,Pseudotsuga menziesii,,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Idaho SB21052,0.36,lb,0.36,$175.00,Pseudotsuga menziesii,,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir New Mexico SB06061,5.60,lb,5.60,$151.00,Pseudotsuga menziesii,"Lincoln National Forest, New Mexico",,91/94 2020,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir New Mexico SB11034,2.40,lb,2.40,$151.00,Pseudotsuga menziesii,"Lincoln National Forest, New Mexico",7500-9500,95% 2011,SilvaSeed Freezer,Douglas Fir,PSME
,Eastern White Pine New York SB07055,1.60,lb,1.60,$0.00,Pinus strobus,"Adirondack, New York",,,SilvaSeed Freezer,Eastern White Pine,PIST
,Eastern White Pine New York SB20021,2.43,lb,2.43,$0.00,Pinus strobus,"Adirondack, New York",,,SilvaSeed Freezer,Eastern White Pine,PIST
,Engellman Spruce Idaho SB21054,0.26,lb,0.26,$170.00,Picea engelmannii,"Big Spring, Idaho",,,SilvaSeed Freezer,Engellman Spruce,
,Engellman Spruce Idaho SB21068,0.62,lb,0.62,$170.00,Picea engelmannii,,,,SilvaSeed Freezer,Engellman Spruce,
,European Larch Hungary SB10007,3.00,lb,3.00,$0.00,Larix decidua,,,41/40 2019,SilvaSeed Freezer,European Larch,
,Korean Fir SB93012,0.90,lb,0.90,$0.00,Abies koreana,,,,SilvaSeed Freezer,Korean Fir,
,Korean Fir SB93084,0.85,lb,0.85,$0.00,Abies koreana,,,,SilvaSeed Freezer,Korean Fir,
,Lodgepole Pine Idaho SB21055,0.26,lb,0.26,$0.00,Pinus contorta,"Waha, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lodgepole Pine Idaho SB21056,0.35,lb,0.35,$0.00,Pinus contorta,"Red River, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lodgepole Pine Idaho SB21057,0.26,lb,0.26,$0.00,Pinus contorta,"Soldiers, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lutz Spruce A21-05 SR83030,2.80,lb,2.80,$0.00,Picea lutzii,"Seward, Alaska",500,79/63 2019,SilvaSeed Freezer,Lutz Spruce,
,Lutz Spruce A21-05 SR90013,249.08,lb,249.08,$0.00,Picea lutzii,"Seward, Alaska",500,74/77 2017,SilvaSeed Freezer,Lutz Spruce,
,Lutz Spruce Alaska SR94038,7.30,lb,7.30,$0.00,Picea lutzii,,,73/79 2017,SilvaSeed Freezer,Lutz Spruce,
,Mountain Hemlock Idaho SB21058,0.15,lb,0.15,$400.00,Tsuga mertensiana,"Incline, Idaho",,,SilvaSeed Freezer,Mountain Hemlock,
,Noble Fir Denmark SB05047,1.00,lb,1.00,$125.00,Abies procera,Rathlousdal Forest,,88/89 2012,SilvaSeed Freezer,Noble Fir,ABPR
,Noble Fir Denmark SB99048,86.80,lb,86.80,$125.00,Abies procera,Rathlousdal Forest,,42/39 2018,SilvaSeed Freezer,Noble Fir,ABPR
,Nordmann Fir SB20025,56.50,lb,56.50,$0.00,Abies nordmanniana,"Ambrolauri, Georgia",,,SilvaSeed Freezer,Nordmann Fir,
,Ponderosa Pine Idaho SB21059,0.75,lb,0.75,$150.00,Pinus ponderosa,"Old Madden, Idaho",,,SilvaSeed Freezer,Ponderosa Pine,PIPO
,Ponderosa Pine SB10025,92.60,lb,92.60,$150.00,Pinus ponderosa,Klamath Co. Oregon,,82/84 2017,SilvaSeed Freezer,Ponderosa Pine,PIPO
,Shore Pine Canada SB10022,19.00,lb,19.00,$0.00,Pinus contorta var latifolia,"Hazelton, British Columbia",,91/81 9/2017,SilvaSeed Freezer,Shore Pine,
,Sitka Alder A16-05 SR95151,0.26,lb,0.26,$0.00,Alnus sinuata,"Skagway, Alaska",500,,SilvaSeed Freezer,Sitka Alder,ALSI
,Sitka Spruce A34-05 SR72013,1.50,lb,1.50,$225.00,Picea sitchensis,Alaska,500,51/51/8/2005,SilvaSeed Freezer,Sitka Spruce,
,Sitka Spruce Alaska SB10018,618.69,lb,618.69,$225.00,Picea sitchensis,Prince of Wales,,51/61 9/2018,SilvaSeed Freezer,Sitka Spruce,
,Sitka Spruce Alaska SR14023,87.17,lb,87.17,$225.00,Picea sitchensis,"Juneau, Alaska",,91/85 8/2019,SilvaSeed Freezer,Sitka Spruce,
,Sitka Spruce Canada SB10019,104.60,lb,104.60,$225.00,Picea sitchensis,Queen Charlotte Island,,63/70 9/2018,SilvaSeed Freezer,Sitka Spruce,
,Sitka Spruce Canada SB10020,98.55,lb,98.55,$225.00,Picea sitchensis,Queen Charlotte Island,,77/84 9/2018,SilvaSeed Freezer,Sitka Spruce,
,Southwestern White Pine Arizona SB08033,1.00,lb,1.00,$0.00,Pinus strobiformis,"Apache N.F., Arizona",,76% 2007,SilvaSeed Freezer,Southwestern White Pine,
,Subalpine Fir Colorado SB13028,0.85,lb,0.85,$175.00,Abies lasciocarpa var lasciocarpa,San Juan N.F.,,68/76 2017,SilvaSeed Freezer,Subalpine Fir,
,Sugar Pine SB21152,35.20,lb,35.20,$225.00,Pinus lambertiana,,,,SilvaSeed Freezer,Sugar Pine,PILA
,Western Hemlock Idaho SB21061,0.06,lb,0.06,$375.00,Tsuga heterophylla,"Merry, Idaho",,,SilvaSeed Freezer,Western Hemlock,TSHE
,Western Hemlock Idaho SB21062,1.30,lb,1.30,$375.00,Tsuga heterophylla,"Salmon, Idaho",,,SilvaSeed Freezer,Western Hemlock,TSHE
,Western Larch Idaho SB21067,0.42,lb,0.42,$400.00,Larix occidentalis,,,,SilvaSeed Freezer,Western Larch,LAOC
,Western White Pine Idaho SB21063,0.69,lb,0.69,$125.00,Pinus monticola,,,,SilvaSeed Freezer,Western White Pine,PIMO
,Western White Pine Idaho SB21064,3.23,lb,3.23,$125.00,Pinus monticola,"Kootenai, Idaho",,,SilvaSeed Freezer,Western White Pine,PIMO
,Western White Pine Idaho SB21065,0.02,lb,0.02,$125.00,Pinus monticola,"Elk Hem, Idaho",,,SilvaSeed Freezer,Western White Pine,PIMO
,Western White Pine SB14011,5.46,lb,5.46,$125.00,Pinus monticola,Southern Oregon,,93% 2020,SilvaSeed Freezer,Western White Pine,PIMO
,Western White Pine SB14012,2.24,lb,2.24,$125.00,Pinus monticola,Southern Oregon,,93% 2020,SilvaSeed Freezer,Western White Pine,PIMO
,Western White Pine SR20001,9.10,lb,9.10,$125.00,Pinus monticola,"Whidbey Island, Washington",,94% 2021,SilvaSeed Freezer,Western White Pine,PIMO
,White Spruce A33-05 SR90012,8.20,lb,8.20,$0.00,Picea glauca,"Kenai, Alaska",500,79/84 2017,SilvaSeed Freezer,White Spruce,PIGL
,White Spruce A42-05 SR63151,6.00,lb,6.00,$0.00,Picea glauca,"Big Delta, Alaska",500,61/17 2018,SilvaSeed Freezer,White Spruce,PIGL
,White Spruce Canada SB14007,3.38,lb,3.38,$0.00,Picea glauca,Nova Scotia,,89/94 2018,SilvaSeed Freezer,White Spruce,PIGL
,White Spruce Minnesota SB11010,1.16,lb,1.16,$0.00,Picea glauca,"Lake States, Minnesota",,67/85 2012,SilvaSeed Freezer,White Spruce,PIGL
,White Spruce Minnesota SB13026,14.39,lb,14.39,$0.00,Picea glauca,Lake States,,30/47 2018,SilvaSeed Freezer,White Spruce,PIGL
,Witch Hazel SB21066,110.20,lb,110.20,$0.00,Hamamelis virginiana,,,,SilvaSeed Freezer,Witch Hazel,
,Witch Hazel SB21070,135.50,lb,135.50,$0.00,Hamamelis virginiana,"Confluence, Pennsylvania",,,SilvaSeed Freezer,Witch Hazel,
502,Incense Cedar 502-35 SB21105,10.82,lb,10.82,$275.00,Calocedrus decurrens,"Willow, Oregon",3500,,SilvaSeed Freezer,Incense Cedar,CADE
11,Douglas Fir 011-15/30 SB92054,2.27,lb,2.27,$175.00,Pseudotsuga menziesii,"Hoko, Washington",1500-3000,66/76 1998,SilvaSeed Freezer,Douglas Fir,PSME
11,Sitka Spruce 011-05 SB14019,194.27,lb,194.27,$225.00,Picea sitchensis,"Hoko, Washington",500,77/69 8/2019,SilvaSeed Freezer,Sitka Spruce,
12,Sitka Spruce 012-05 SB14018,67.50,lb,67.50,$225.00,Picea sitchensis,"Forks, Washington",500,70/66 8/2019,SilvaSeed Freezer,Sitka Spruce,
12,Sitka Spruce 012-05 SR16071,95.64,lb,95.64,$225.00,Picea sitchensis,"Forks, Washington",500,,SilvaSeed Freezer,Sitka Spruce,
12,Sitka Spruce 012-05 SR97072,0.73,lb,0.73,$225.00,Picea sitchensis,"Forks, Washington",500,80/83 10/2012,SilvaSeed Freezer,Sitka Spruce,
12,Sitka Spruce 012-10 SB14017,51.80,lb,51.80,$225.00,Picea sitchensis,"Forks, Washington",1000,76/79 10/2020,SilvaSeed Freezer,Sitka Spruce,
30,Douglas Fir 030-05 SB17019,64.00,lb,64.00,$200.00,Pseudotsuga menziesii,"Hoquiam, Washington",500,86/90 2017,SilvaSeed Freezer,Douglas Fir,PSME
30,Douglas Fir 030-10 SB20014,0.02,lb,0.02,$200.00,Pseudotsuga menziesii,"Matlock, Washington",1000,,SilvaSeed Freezer,Douglas Fir,PSME
30,Sitka Spruce 030-05 SB17046,4.92,lb,4.92,$225.00,Picea sitchensis,"Hoquiam, Washington",500,74/66 8/2019,SilvaSeed Freezer,Sitka Spruce,
30,Sitka Spruce 030-05 SB17047,12.31,lb,12.31,$225.00,Picea sitchensis,"Hoquiam, Washington",500,60/63 9/2018,SilvaSeed Freezer,Sitka Spruce,
30,Sitka Spruce 030-05 SB17048,8.08,lb,8.08,$225.00,Picea sitchensis,"Hoquiam, Washington",500,83/87 9/2018,SilvaSeed Freezer,Sitka Spruce,
51,Western Hemlock 051-  SB21005,1.00,lb,1.00,$375.00,Tsuga heterophylla,,,,SilvaSeed Freezer,Western Hemlock,TSHE
53,Noble Fir 053-30 SB21002,120.00,lb,120.00,$125.00,Abies procera,,3000,,SilvaSeed Freezer,Noble Fir,ABPR
53,Noble Fir 053-30 SB21003,2.35,lb,2.35,$125.00,Abies procera,,3000,,SilvaSeed Freezer,Noble Fir,ABPR
53,Sitka Spruce 053-05 SR18043,2.80,lb,2.80,$225.00,Picea sitchensis,"Lincoln City, Oregon",500,,SilvaSeed Freezer,Sitka Spruce,
61,Red Alder 061-05 SB21004,0.80,lb,0.80,$0.00,Alnus rubra,,500,,SilvaSeed Freezer,Red Alder,ALRU
62,Douglas Fir 062-05 SB18005,17.99,lb,17.99,$225.00,Pseudotsuga menziesii,"Florence, Oregon",500,85/87 2018,SilvaSeed Freezer,Douglas Fir,PSME
62,Douglas Fir 062-05 SB21198,0.31,lb,0.31,$225.00,Pseudotsuga menziesii,"Florence, Oregon",500,93% 2019,SilvaSeed Freezer,Douglas Fir,PSME
62,Douglas Fir 062-10 SB18006,86.86,lb,86.86,$225.00,Pseudotsuga menziesii,"Florence, Oregon",1000,79/88 2018,SilvaSeed Freezer,Douglas Fir,PSME
62,Douglas Fir 062-15 SB18007,21.34,lb,21.34,$225.00,Pseudotsuga menziesii,"Florence, Oregon",1500,95/93 2018,SilvaSeed Freezer,Douglas Fir,PSME
62,Douglas Fir 062-20 SB18014,6.65,lb,6.65,$225.00,Pseudotsuga menziesii,"Florence, Oregon",2000,89/97 2018,SilvaSeed Freezer,Douglas Fir,PSME
72,Douglas Fir 072-15 SR97049,196.16,lb,196.16,$225.00,Pseudotsuga menziesii,"Coquille, Oregon",1500,84/93 2020,SilvaSeed Freezer,Douglas Fir,PSME
72,Douglas Fir 072-20 SB89039,2.65,lb,2.65,$225.00,Pseudotsuga menziesii,"Fairview, Oregon",2000,,SilvaSeed Freezer,Douglas Fir,PSME
81,Douglas Fir 081-30 SB00032,46.50,lb,46.50,$225.00,Pseudotsuga menziesii,,3000,69/77 2017,SilvaSeed Freezer,Douglas Fir,PSME
92,Douglas Fir 092-20 SB21024,0.50,lb,0.50,$225.00,Pseudotsuga menziesii,"Blue Lake, California",2000,,SilvaSeed Freezer,Douglas Fir,PSME
93,Douglas Fir 093-05 SB19039,25.05,lb,25.05,$225.00,Pseudotsuga menziesii,"Blue Lake, California",500,94/96 2020,SilvaSeed Freezer,Douglas Fir,PSME
93,Douglas Fir 093-10 SB19040,112.60,lb,112.60,$225.00,Pseudotsuga menziesii,"Blue Lake, California",1000,94/97 2020,SilvaSeed Freezer,Douglas Fir,PSME
93,Douglas Fir 093-15 SB19041,116.15,lb,116.15,$225.00,Pseudotsuga menziesii,"Blue Lake, California",1500,89/96 2020,SilvaSeed Freezer,Douglas Fir,PSME
94,Douglas Fir 094-05 SB19042,38.65,lb,38.65,$225.00,Pseudotsuga menziesii,"Fort Bragg, California",500,94/98 2020,SilvaSeed Freezer,Douglas Fir,PSME
94,Douglas Fir 094-10 SB19043,2.50,lb,2.50,$225.00,Pseudotsuga menziesii,"Fort Bragg, California",1000,90/93 2020,SilvaSeed Freezer,Douglas Fir,PSME
94,Douglas Fir 094-15 SB19044,39.25,lb,39.25,$225.00,Pseudotsuga menziesii,"Fort Bragg, California",1500,,SilvaSeed Freezer,Douglas Fir,PSME
95,Douglas Fir 095-05 SB19045,31.30,lb,31.30,$225.00,Pseudotsuga menziesii,"Sonoma County, California",500,,SilvaSeed Freezer,Douglas Fir,PSME
95,Douglas Fir 095-15 SB19046,3.50,lb,3.50,$225.00,Pseudotsuga menziesii,"Sonoma County, California",1500,93/97 2020,SilvaSeed Freezer,Douglas Fir,PSME
95,Douglas Fir 095-15 SR97006,26.20,lb,26.20,$225.00,Pseudotsuga menziesii,"Old Nursery Site, California",1500,90/92 2017,SilvaSeed Freezer,Douglas Fir,PSME
95,Douglas Fir 095-15 SR97007,88.90,lb,88.90,$225.00,Pseudotsuga menziesii,"Sonoma County, California",1500,94/96 2018,SilvaSeed Freezer,Douglas Fir,PSME
97,Coast Redwood 097-17 SB21224,2.98,lb,2.98,$315.00,Sequoia sempervirens,"Big Basin, California",1700,16% 2020,SilvaSeed Freezer,Coast Redwood,SESE
97,Coast Redwood 097-18 SB21225,4.26,lb,4.26,$315.00,Sequoia sempervirens,"Big Basin, California",1800,13% 2020,SilvaSeed Freezer,Coast Redwood,SESE
97,Coast Redwood 097-19 SB21226,1.86,lb,1.86,$315.00,Sequoia sempervirens,"Big Basin, California",1900,6% 2020,SilvaSeed Freezer,Coast Redwood,SESE
221,Douglas Fir 221-10/15 SR18004,2.52,lb,2.52,$225.00,Pseudotsuga menziesii,"Louella, California",1000-1500,,SilvaSeed Freezer,Douglas Fir,PSME
221,Red Alder 221-05 SR16046,0.90,lb,0.90,$0.00,Alnus rubra,"Port Angeles, Washington",,,,Red Alder,ALRU
221,Red Alder 221-05 SR18044,1.49,lb,1.49,$0.00,Alnus rubra,"Port Angeles, Washington",500,,SilvaSeed Freezer,Red Alder,ALRU
241,Douglas Fir 241-10 SR95079,13.80,lb,13.80,$175.00,Pseudotsuga menziesii,"Pe Ell, Washington",1000,88/90 2017,SilvaSeed Freezer,Douglas Fir,PSME
251,Grand Fir 251-05 SR14026,0.15,lb,0.15,$110.00,Abies grandis,"Willamina, Oregon",500,,SilvaSeed Freezer,Grand Fir,ABGR
252,Douglas Fir 252-10 SB21053,0.50,lb,0.50,$175.00,Pseudotsuga menziesii,,1000,,SilvaSeed Freezer,Douglas Fir,PSME
252,Noble Fir 252-30 SR16028,0.89,lb,0.89,$125.00,Abies procera,"Mary's Peak, Oregon",3000,,SilvaSeed Freezer,Noble Fir,ABPR
252,Noble Fir 252-30 SR20010,4.30,lb,4.30,$125.00,Abies procera,"Mary's Peak, Oregon",3000,,SilvaSeed Freezer,Noble Fir,ABPR
261,Douglas Fir 261-10 SR20005,1.60,lb,1.60,$225.00,Pseudotsuga menziesii,"Damascus, Oregon",1000,,SilvaSeed Freezer,Douglas Fir,PSME
262,Douglas Fir 262-10 SR16014,7.60,lb,7.60,$225.00,Pseudotsuga menziesii,"Lebanon, Oregon",1000,,SilvaSeed Freezer,Douglas Fir,PSME
262,Douglas Fir 262-10 SR20003,5.50,lb,5.50,$225.00,Pseudotsuga menziesii,"Lebanon, Oregon",1000,,SilvaSeed Freezer,Douglas Fir,PSME
272,Sugar Pine 272-25 SB21119,9.08,lb,9.08,$225.00,Pinus lambertiana,,2500,90% 2021,SilvaSeed Freezer,Sugar Pine,PILA
303,Douglas Fir 303-25 SB89016,26.91,lb,26.91,$225.00,Pseudotsuga menziesii,"Grouse Mountain, California",2500,66/75 2017,SilvaSeed Freezer,Douglas Fir,PSME
303,Douglas Fir 303-30 SB21025,2.70,lb,2.70,$225.00,Pseudotsuga menziesii,"Berry Hills, California",3000,,SilvaSeed Freezer,Douglas Fir,PSME
303,Douglas Fir 303-40 SB21026,41.00,lb,41.00,$225.00,Pseudotsuga menziesii,"Berry Hills, California",4000,,SilvaSeed Freezer,Douglas Fir,PSME
303,Douglas Fir 303-50 SB21027,1.30,lb,1.30,$225.00,Pseudotsuga menziesii,"Berry Hills, California",5000,,SilvaSeed Freezer,Douglas Fir,PSME
312,Douglas Fir 312-45 SR91103,1.16,lb,1.16,$225.00,Pseudotsuga menziesii,"South Fork Mountain, California",4500,,SilvaSeed Freezer,Douglas Fir,PSME
321,Douglas Fir 321-45 SB21199,0.76,lb,0.76,$225.00,Pseudotsuga menziesii,"Hilt, California",4500,93% 2016,SilvaSeed Freezer,Douglas Fir,PSME
321,Douglas Fir 321-50 SB21200,49.47,lb,49.47,$225.00,Pseudotsuga menziesii,"Hilt, California",5000,96% 2014,SilvaSeed Freezer,Douglas Fir,PSME
321,Shasta Red Fir 321-65 SB21091,52.80,lb,52.80,$150.00,Abies magnifica var shastensis,"Trapper Creek, California",6500,56% 2021,SilvaSeed Freezer,Shasta Red Fir,ABMA
321,Shasta Red Fir 321-65 SB21092,89.08,lb,89.08,$150.00,Abies magnifica var shastensis,Mt. Ashland California,6500,,SilvaSeed Freezer,Shasta Red Fir,ABMA
322,Douglas Fir 322-45 SB21201,44.48,lb,44.48,$225.00,Pseudotsuga menziesii,"Scott Bar, California",4500,94% 2021,SilvaSeed Freezer,Douglas Fir,PSME
322,Douglas Fir 322-45 SB21202,3.00,lb,3.00,$225.00,Pseudotsuga menziesii,,4500,,SilvaSeed Freezer,Douglas Fir,PSME
322,Douglas Fir 322-50 SB21203,58.50,lb,58.50,$225.00,Pseudotsuga menziesii,"Scott Bar, California",5000,94% 2014,SilvaSeed Freezer,Douglas Fir,PSME
322,Douglas Fir 322-55 SB21204,78.44,lb,78.44,$225.00,Pseudotsuga menziesii,"Scott Bar, California",5500,90% 2016,SilvaSeed Freezer,Douglas Fir,PSME
331,Douglas Fir 331-50 SB21205,0.69,lb,0.69,$225.00,Pseudotsuga menziesii,,5000,,SilvaSeed Freezer,Douglas Fir,PSME
331,Sugar Pine 331-30 SB21120,11.22,lb,11.22,$225.00,Pinus lambertiana,,3000,93% 2014,SilvaSeed Freezer,Sugar Pine,PILA
331,Sugar Pine 331-30 SB21121,2.30,lb,2.30,$225.00,Pinus lambertiana,,3000,83% 2014,SilvaSeed Freezer,Sugar Pine,PILA
331,Sugar Pine 331-35 SB21122,53.44,lb,53.44,$225.00,Pinus lambertiana,"Weaverville, California",3500,96% 2021,SilvaSeed Freezer,Sugar Pine,PILA
